,Date,Open,High,Low,Close,Volume
421,2015-09-16,24400,26150,24300,26000,1327331
422,2015-09-17,26500,26900,26150,26550,1014957
423,2015-09-18,26800,26800,25800,26400,594470
424,2015-09-21,25800,26100,25300,25850,461291
425,2015-09-22,26150,26150,25600,25750,366281
426,2015-09-23,25400,25500,24650,24800,461408
427,2015-09-24,24950,25150,24600,24700,201008
428,2015-09-25,24700,25200,24500,25200,242287
429,2015-09-30,24550,24900,24300,24550,355973
430,2015-10-01,24800,25600,24600,25400,306190
431,2015-10-02,25400,25550,24450,24450,520813
432,2015-10-05,24750,24850,24150,24150,461863
433,2015-10-06,24600,25100,24600,24850,374596
434,2015-10-07,25050,25450,24850,25150,420221
435,2015-10-08,25250,26000,25200,25450,439883
436,2015-10-12,26000,26550,25600,26450,759585
437,2015-10-13,26400,26900,26250,26550,575859
438,2015-10-14,26400,26400,25450,25500,593192
439,2015-10-15,25300,26150,25300,26100,339179
440,2015-10-16,26250,26350,25700,25850,193293
441,2015-10-19,26100,26200,25550,25550,205555
442,2015-10-20,25850,26450,25800,26250,439230
443,2015-10-21,26250,26900,26050,26700,516356
444,2015-10-22,26200,26200,25000,25000,864456
445,2015-10-23,25300,25700,24500,25050,802933
446,2015-10-26,25150,25150,23900,24050,866115
447,2015-10-27,23800,24550,23800,24350,345088
448,2015-10-28,24400,24450,23650,24200,355033
449,2015-10-29,24200,25000,24000,24000,480209
450,2015-10-30,23900,24050,23050,23300,645697
451,2015-11-02,23300,23650,22700,22800,441827
452,2015-11-03,23000,23550,22950,23200,341455
453,2015-11-04,23350,23700,23250,23500,245304
454,2015-11-05,23300,23450,23000,23050,224163
455,2015-11-06,23100,23200,22650,22800,306197
456,2015-11-09,22550,22700,21950,22100,432237
457,2015-11-10,21600,23050,21500,22800,594044
458,2015-11-11,22900,23300,22400,22900,319410
459,2015-11-12,22900,22950,22300,22350,225601
460,2015-11-13,22000,22650,21950,22350,213959
461,2015-11-16,21800,22050,21600,21750,238490
462,2015-11-17,22200,22600,21950,22200,219794
