,Date,Open,High,Low,Close,Volume
506,2016-01-21,28400,29050,28350,28400,1057400
507,2016-01-22,28700,29600,28700,29100,948592
508,2016-01-25,29700,30200,29500,29650,725570
509,2016-01-26,29000,29150,28600,29000,904169
510,2016-01-27,29300,29750,29150,29750,829037
511,2016-01-28,29450,30450,29300,30300,930742
512,2016-01-29,30000,30550,29850,30550,909185
513,2016-02-01,30150,30850,29700,29900,1447280
514,2016-02-02,30100,30100,29350,29350,887067
515,2016-02-03,28900,28900,28250,28450,1554437
516,2016-02-04,28400,29050,28400,28700,1518417
517,2016-02-05,28750,29950,28300,29350,3450464
518,2016-02-11,28200,29050,28100,28700,3400136
519,2016-02-12,28300,28650,27600,28400,2671335
520,2016-02-15,29050,29950,28900,29650,1845054
521,2016-02-16,29800,30000,28900,29500,1369727
522,2016-02-17,29500,31400,29500,31300,2441873
523,2016-02-18,31200,31600,30500,30650,1532672
524,2016-02-19,30500,30750,29750,30300,1275000
525,2016-02-22,30100,30450,29850,30100,929686
526,2016-02-23,30400,30700,30100,30100,778331
527,2016-02-24,30000,30450,29950,30250,465636
528,2016-02-25,30300,30450,29400,29850,1111874
529,2016-02-26,30050,30450,29950,30000,1013165
530,2016-02-29,30050,30450,29700,29700,1445937
531,2016-03-02,30200,30350,29950,30200,1282015
532,2016-03-03,30400,30900,30150,30800,1894486
533,2016-03-04,30850,31900,30650,31800,1418793
534,2016-03-07,32150,32900,32050,32150,1828569
535,2016-03-08,32200,32350,31250,31750,956455
536,2016-03-09,31750,32200,31500,31900,638711
537,2016-03-10,31900,32200,31550,31950,1116674
538,2016-03-11,32500,32500,32050,32300,849473
539,2016-03-14,32950,33200,32700,32750,1135753
540,2016-03-15,32500,32700,32000,32300,820220
541,2016-03-16,32250,32750,32150,32650,716895
542,2016-03-17,32500,33000,32250,32400,889841
543,2016-03-18,32600,32950,32350,32800,961903
544,2016-03-21,32750,33050,32550,32700,713349
545,2016-03-22,32650,32850,32500,32800,762216
546,2016-03-23,32750,32950,32650,32700,667865
547,2016-03-24,32500,32550,31800,32100,885431
548,2016-03-25,31850,32000,31350,31750,589649
549,2016-03-28,31450,32100,31450,32000,451149
550,2016-03-29,32100,32600,32100,32350,766115
551,2016-03-30,32200,32250,31550,31850,841410
552,2016-03-31,31900,32300,31600,31850,1279256
553,2016-04-01,32450,32650,31700,32150,2001720
554,2016-04-04,32000,32400,31700,32150,904009
555,2016-04-05,31800,33050,31800,32550,1030286
556,2016-04-06,32400,33050,32400,32800,924102
557,2016-04-07,32900,33100,32800,32950,851963
558,2016-04-08,32650,32900,32000,32750,744026
559,2016-04-11,32500,32750,31800,32200,675391
560,2016-04-12,32000,32450,31800,32150,673426
561,2016-04-14,32650,33650,32650,33650,2376739
