,Date,Open,High,Low,Close,Volume
206,2014-11-05,48200,48950,47600,47700,2115478
207,2014-11-06,47800,48450,46850,47250,1289421
208,2014-11-07,47050,48250,46700,46950,1129816
209,2014-11-10,47350,48150,46250,46550,1668722
210,2014-11-11,46800,47750,46150,46900,1638167
211,2014-11-12,47650,47800,44600,44600,4036085
212,2014-11-13,45100,45850,44600,45150,2075700
213,2014-11-14,44700,45750,44700,45100,1487434
214,2014-11-17,44950,45650,43150,44100,1816211
215,2014-11-18,44450,45250,43750,44050,1562449
216,2014-11-19,44600,45400,44150,45400,1323346
217,2014-11-20,45450,45650,45000,45300,881733
218,2014-11-21,45300,45800,44650,45400,1005530
219,2014-11-24,45950,45950,43400,43800,3173073
220,2014-11-25,44200,44950,43950,44950,1465083
221,2014-11-26,45300,45650,44200,44250,1090533
222,2014-11-27,44500,44600,43650,44500,1134484
223,2014-11-28,45300,46200,45200,46000,2285440
224,2014-12-01,46250,47600,46050,46750,2439315
225,2014-12-02,46300,46700,45900,46100,1548918
226,2014-12-03,46900,46900,46200,46800,1113399
227,2014-12-04,46950,47100,46300,46900,866985
228,2014-12-05,46650,46900,45550,46100,1300277
229,2014-12-08,45800,46400,44850,45250,969639
230,2014-12-09,46000,46400,45850,46150,972819
231,2014-12-10,46750,46900,46250,46850,1379011
232,2014-12-11,46950,47350,46000,46000,1305601
233,2014-12-12,46000,46950,45700,46850,1270062
234,2014-12-15,46900,47700,40050,44500,5927494
235,2014-12-16,42100,43000,40150,40350,9403580
236,2014-12-17,41200,41450,40600,41000,3552063
237,2014-12-18,41400,41700,41000,41000,2113398
238,2014-12-19,41750,43750,41600,43350,3667685
239,2014-12-22,43650,44500,42200,44500,2308995
240,2014-12-23,44400,44500,43550,43900,1057736
241,2014-12-24,43700,44300,43450,43650,770906
242,2014-12-26,43700,43750,42850,42950,1320670
243,2014-12-29,42600,43250,42250,43050,1075214
244,2014-12-30,43000,43200,42500,42700,718853
245,2015-01-02,42350,42950,42200,42700,637596
246,2015-01-05,42500,42650,41600,42000,1123739
247,2015-01-06,41500,42400,41400,41850,1290400
248,2015-01-07,42100,43500,42050,43150,1336557
249,2015-01-08,42800,43250,41700,41800,1481866
250,2015-01-09,41750,42450,41700,41750,1004930
251,2015-01-12,41700,42250,41400,41750,835448
252,2015-01-13,41650,41700,40700,40850,1565927
253,2015-01-14,41050,41150,39400,40000,2093539
254,2015-01-15,39750,40350,39200,39850,1835262
255,2015-01-16,39750,40050,38750,39150,1631957
256,2015-01-19,39250,39950,39100,39300,916297
257,2015-01-20,39850,42100,39850,41700,2571126
258,2015-01-21,42000,42250,40850,41500,1556237
259,2015-01-22,41800,43250,41700,43250,2255375
260,2015-01-23,43400,44150,42950,43150,1573831
261,2015-01-26,43100,43100,42250,42700,722055
262,2015-01-27,42350,43550,41800,42150,2122124
263,2015-01-28,42200,43150,42050,42850,1076619
264,2015-01-29,43300,43350,42600,42600,912348
265,2015-01-30,42750,43750,42700,43200,1055899
266,2015-02-02,42900,43500,42450,43500,764851
267,2015-02-03,43500,43700,41950,42300,1871123
268,2015-02-04,42450,43000,41850,42750,1166439
269,2015-02-05,42750,43000,42100,42450,850392
270,2015-02-06,42150,43000,40800,41900,1634543
271,2015-02-09,41900,42700,41250,42050,1076028
272,2015-02-10,43150,43600,42550,42550,1332114
273,2015-02-11,42650,44350,42300,43500,3230700
274,2015-02-12,43500,45200,42950,44900,2286349
275,2015-02-13,45200,46050,44700,45900,1636650
276,2015-02-16,45700,45850,44750,45350,844579
277,2015-02-17,45650,45650,44400,44400,847265
278,2015-02-23,45350,45350,44600,45050,765852
279,2015-02-24,45550,45600,44500,44550,872067
280,2015-02-25,45900,46100,45200,45550,1037223
281,2015-02-26,46000,46100,44650,45900,1197203
282,2015-02-27,46100,46200,44700,44700,1291977
283,2015-03-02,45300,45350,43950,44350,1238440
284,2015-03-03,44750,44800,43950,44600,1156725
285,2015-03-04,45000,45450,44500,45250,1047516
286,2015-03-05,45250,45250,43850,44400,1262426
287,2015-03-06,44900,44950,44250,44700,1059924
288,2015-03-09,45350,45350,44000,44850,1102076
289,2015-03-10,44850,45150,43950,43950,794206
290,2015-03-11,43250,43950,42700,43700,1594400
291,2015-03-12,43200,43500,42200,42200,1981753
292,2015-03-13,42400,43900,42350,43850,2171920
