Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2017-06-15,381000,383500,377500,380000,34238,3,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,4,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,5,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,6,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,7,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,8,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,9,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,10,1.0,0.0,0.0
2017-06-15,381000,383500,377500,380000,34238,11,1.0,0.0,0.0
2017-06-16,381500,381500,374000,379500,46934,2,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,3,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,4,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,5,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,6,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,7,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,8,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,9,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,10,1.0,1.0,0.0
2017-06-16,381500,381500,374000,379500,46934,11,1.0,1.0,0.0
2017-06-19,376500,381500,372500,374000,41472,2,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,3,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,4,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,5,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,6,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,7,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,8,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,9,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,10,2.0,0.0,0.0
2017-06-19,376500,381500,372500,374000,41472,11,2.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,2,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,3,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,4,1.0,0.0,0.0
