date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-02-05,258000,258000,252500,253500,56879,8.6,22.2,1.1,2014-02-05,9,,,
2014-02-05,258000,258000,252500,253500,56879,8.6,22.2,1.1,2014-02-05,10,,,
2014-02-05,258000,258000,252500,253500,56879,8.6,22.2,1.1,2014-02-05,11,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,2,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,3,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,4,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,5,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,6,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,7,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,8,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,9,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,10,,,
2014-02-06,254000,255500,250000,255000,54321,8.6,22.2,1.1,2014-02-06,11,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,2,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,3,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,4,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,5,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,6,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,7,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,8,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,9,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,10,,,
2014-02-07,254000,268500,254000,266000,98473,8.6,22.2,1.1,2014-02-07,11,,,
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,2,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,3,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,4,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,5,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,6,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,7,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,8,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,9,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,10,2.0,0.0,1.0
2014-02-10,267500,269500,263000,265000,53379,8.6,22.2,1.1,2014-02-10,11,2.0,0.0,1.0
