Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2015-10-12,13400,14050,13350,14000,3019650,6.98,7.07,0.47,13470.0,1525588.0,0.03934669636228656,0.9793351809269606,13470.0,1201995.5,0.03934669636228656,1.5121974250319572,13582.5,1136050.1,0.030738082090925822,1.6580253810989496,13459.166666666666,1239955.6,0.04018327038573467,1.4352888119542344,13903.333333333334,1397391.5083333333,0.006952769120115036,1.1609190996169225,0.0,0.0035714285714285713,-0.04642857142857143,0.04477611940298507,0.6712603981602936
2015-10-13,14000,14050,13800,14000,1050745,6.98,7.07,0.47,13600.0,1498731.8,0.029411764705882353,-0.2989105856031079,13535.0,1249954.8,0.034355374953823424,-0.1593736029494827,13595.0,1113579.95,0.029790364104450167,-0.05642607879209747,13470.833333333334,1214217.1,0.03928240024744814,-0.13463168983536805,13895.416666666666,1382869.8833333333,0.007526462562595624,-0.24017074009361183,0.0,0.0035714285714285713,-0.014285714285714285,0.0,-0.6520308645041644
2015-10-14,13900,14100,13800,14050,1161208,6.98,7.07,0.47,13750.0,1588852.4,0.02181818181818182,-0.26915300628302535,13595.0,1304469.8,0.03346818683339463,-0.10982377667923017,13610.0,1118262.95,0.03232916972814107,0.038403355847567024,13478.333333333334,1210567.0833333333,0.042413750463707135,-0.04077352177577927,13890.0,1374102.825,0.011519078473722102,-0.15493369282608088,-0.007142857142857143,0.0035587188612099642,-0.017793594306049824,0.0035714285714285713,0.10512826613498041
2015-10-15,14000,14350,14000,14250,1679644,6.98,7.07,0.47,13940.0,1743611.4,0.02223816355810617,-0.036686729623355244,13660.0,1297763.5,0.04319180087847731,0.2942604719581033,13647.5,1167887.05,0.044147279721560725,0.4381904482972047,13496.666666666666,1194790.5666666667,0.05581625092615465,0.4058062114484388,13890.0,1370431.6416666666,0.02591792656587473,0.22563136236206655,-0.0035587188612099642,0.007017543859649123,-0.017543859649122806,0.014234875444839857,0.4464626492411351
2015-10-16,14350,14450,14150,14250,1296253,6.98,7.07,0.47,14110.0,1641500.0,0.009922041105598866,-0.21032409381663114,13730.0,1339996.4,0.037873270211216316,-0.03264441605962517,13667.5,1190351.65,0.04261935247850741,0.08896644113527301,13515.833333333334,1204100.5,0.0543190085701954,0.07653223298221369,13892.083333333334,1360660.725,0.025764074262919483,-0.047335624389393684,0.007017543859649123,0.014035087719298246,-0.007017543859649123,0.0,-0.22825729737968284
2015-10-19,14250,14350,14150,14300,777406,6.98,7.07,0.47,14170.0,1193051.2,0.009174311926605505,-0.34838840110131064,13820.0,1359319.6,0.03473227206946455,-0.4280918188776209,13682.5,1172366.25,0.04513064133016627,-0.33689152174075293,13531.666666666666,1200856.5166666666,0.05678039167385151,-0.3526237404632479,13883.75,1320355.6,0.02998109300441163,-0.41121467580400317,0.0,0.0034965034965034965,-0.01048951048951049,0.0035087719298245615,-0.4002667689100816
2015-10-20,14200,14400,14000,14350,1147554,6.98,7.07,0.47,14240.0,1212413.0,0.007724719101123595,-0.0534957972242132,13920.0,1355572.4,0.03089080459770115,-0.15345428986308657,13697.5,1188262.7,0.047636430005475454,-0.0342590068677574,13552.5,1205904.2833333334,0.05884523150710201,-0.04838715985985464,13875.416666666666,1286873.5583333333,0.03420317708176936,-0.1082620413102357,-0.006993006993006993,0.003484320557491289,-0.024390243902439025,0.0034965034965034965,0.47613216260229535
2015-10-21,14350,14600,14200,14550,1501223,6.98,7.07,0.47,14340.0,1280416.0,0.014644351464435146,0.17244942268762653,14045.0,1434634.2,0.03595585617657529,0.04641517677467891,13747.5,1144933.9,0.05837424986361157,0.31118748427310966,13575.833333333334,1222381.95,0.07175741206801296,0.22811286603176695,13869.166666666666,1280409.2166666666,0.049089707384486016,0.17245563407313294,0.0,0.003436426116838488,-0.024054982817869417,0.013937282229965157,0.30819377563060213
2015-10-22,14400,14600,14250,14500,904361,6.98,7.07,0.47,14390.0,1125359.4,0.007644197359277276,-0.19638028526708884,14165.0,1434485.4,0.023649841157783267,-0.3695571945172812,13800.0,1148897.65,0.050724637681159424,-0.21284459063868738,13605.833333333334,1208461.7333333334,0.06571936056838361,-0.2516428323257899,13865.833333333334,1271735.7166666666,0.0457359216299056,-0.28887662102436557,-0.010309278350515464,0.006896551724137931,-0.017241379310344827,-0.003436426116838488,-0.39758383664518865
2015-10-23,14550,14600,14300,14450,717639,6.98,7.07,0.47,14430.0,1009636.6,0.001386001386001386,-0.28921059319759207,14270.0,1325568.3,0.012613875262789068,-0.4586178622406707,13842.5,1154038.35,0.043886581181145023,-0.3781497815908805,13628.333333333334,1200477.7,0.060291060291060246,-0.4022054720383394,13860.0,1263702.275,0.04256854256854257,-0.43211386558594267,0.0034482758620689655,0.010380622837370242,-0.010380622837370242,-0.0034482758620689655,-0.20646843461847647
2015-10-26,14550,14600,14100,14200,893711,6.98,7.07,0.47,14410.0,1032897.6,-0.01457321304649549,-0.134753532199126,14290.0,1112974.4,-0.006298110566829951,-0.19700668766505314,13880.0,1157484.95,0.023054755043227664,-0.22788542520574454,13649.166666666666,1199323.6833333333,0.04035655412418345,-0.2548208524357082,13855.0,1256532.05,0.024900757849151932,-0.2887479471773124,0.006920415224913495,0.028169014084507043,-0.007042253521126761,-0.01730103806228374,0.245348984656631
2015-10-27,14200,14450,14050,14150,591727,6.98,7.07,0.47,14370.0,921732.2,-0.015309672929714684,-0.3580272013932029,14305.0,1067072.6,-0.01083537224746592,-0.44546697197547763,13920.0,1158513.7,0.016522988505747127,-0.4892360789518501,13670.0,1197148.7666666666,0.03511338697878566,-0.5057197430461371,13841.666666666666,1235845.725,0.022275737507525633,-0.5211967092413579,0.0,0.02120141342756184,-0.007067137809187279,-0.0035211267605633804,-0.33789894048523517
2015-10-28,14200,14200,13950,14100,950937,6.98,7.07,0.47,14280.0,811675.0,-0.012605042016806723,0.17157359780700404,14310.0,1046045.5,-0.014675052410901468,-0.09092195320375643,13952.5,1175257.65,0.01057158215373589,-0.19086933831062483,13682.5,1188430.4333333333,0.0305134295633108,-0.19983789262885757,13830.416666666666,1231589.45,0.019492061579248682,-0.22787825114935822,0.0035335689045936395,0.0070921985815602835,-0.010638297872340425,-0.0035335689045936395,0.6070535905916072
2015-10-29,14100,14100,13750,13750,1103971,6.98,7.07,0.47,14130.0,851597.0,-0.02689313517338995,0.2963537917583082,14260.0,988478.2,-0.03576437587657784,0.11683899553879899,13960.0,1143120.85,-0.01504297994269341,-0.03424821618816601,13680.833333333334,1151264.4833333334,0.005055734908935815,-0.04107959901307942,13820.416666666666,1224480.6333333333,-0.005095118936356192,-0.09841693698762458,0.0,0.025454545454545455,0.0,-0.024822695035460994,0.16092969355488324
2015-10-30,13750,14150,13700,14000,1245793,6.98,7.07,0.47,14040.0,957227.8,-0.002849002849002849,0.301459276464808,14235.0,983432.2,-0.01650860554970144,0.266780770448639,13982.5,1161714.3,0.0012515644555694619,0.07237467938545643,13680.833333333334,1154002.75,0.02332947554364374,0.07954075499386808,13812.916666666666,1224686.0083333333,0.013544086151247367,0.017234614850700433,0.0,0.010714285714285714,-0.02142857142857143,0.01818181818181818,0.12846533106395006
2015-11-02,14050,14200,13900,14100,787576,6.98,7.07,0.47,14020.0,936000.8,0.005706134094151213,-0.1585733687407105,14215.0,984449.2,-0.00809004572634541,-0.19998309714711532,14017.5,1171884.4,0.005885500267522739,-0.3279405374796353,13680.0,1146148.5,0.03070175438596491,-0.3128499491994275,13807.916666666666,1222517.6833333333,0.02115332387821001,-0.35577537181091357,0.0035714285714285713,0.0070921985815602835,-0.014184397163120567,0.007142857142857143,-0.3678115064059599
2015-11-03,14050,14200,14000,14100,827698,6.98,7.07,0.47,14010.0,983195.0,0.006423982869379015,-0.15815479126724608,14190.0,952463.6,-0.006342494714587738,-0.13099251246976784,14055.0,1154018.0,0.0032017075773745998,-0.282768553003506,13680.0,1146157.5666666667,0.03070175438596491,-0.2778497267115135,13800.416666666666,1217509.6916666667,0.02170828175477798,-0.32017132539868964,-0.0035460992907801418,0.0070921985815602835,-0.0070921985815602835,0.0,0.05094365496155292
2015-11-04,14050,14100,13850,14000,933236,6.98,7.07,0.47,13990.0,979654.8,0.0007147962830593281,-0.047382812803040464,14135.0,895664.9,-0.00955076052352317,0.04194771950983005,14090.0,1165149.55,-0.0063875088715401,-0.1990418740667239,13677.5,1145518.1666666667,0.02357887040760373,-0.18531540820900708,13792.083333333334,1215120.5416666667,0.015075073260626522,-0.2319807229001595,-0.0035460992907801418,0.007142857142857143,-0.010714285714285714,-0.0070921985815602835,0.1275078591466936
2015-11-05,13900,14000,13750,14000,730443,6.98,7.07,0.47,14040.0,904949.2,-0.002849002849002849,-0.1928353547359343,14085.0,878273.1,-0.006034788782392616,-0.16831905702224056,14125.0,1156379.25,-0.008849557522123894,-0.3683361232917315,13680.0,1144645.1166666667,0.023391812865497075,-0.3618607292650399,13784.583333333334,1212906.9083333334,0.01562736148475043,-0.3977748869418936,-0.007142857142857143,0.0,-0.017857142857142856,0.0,-0.2173008756627477
2015-11-06,13900,14050,13900,14050,495784,6.98,7.07,0.47,14050.0,754947.4,0.0,-0.3432866978547115,14045.0,856087.6,0.000355998576005696,-0.42087234997913764,14157.5,1090827.95,-0.007593148507858026,-0.5454975278182045,13676.666666666666,1132459.5833333333,0.02729709968315871,-0.5622060095595759,13779.166666666666,1208024.7583333333,0.019655276685818006,-0.589591192912292,-0.007142857142857143,0.0,-0.010676156583629894,0.0035714285714285713,-0.3212557311111202
2015-11-09,14050,14200,13850,14000,728588,6.98,7.07,0.47,14030.0,743149.8,-0.0021382751247327157,-0.019594703517379734,14025.0,839575.3,-0.0017825311942959,-0.13219457504288185,14157.5,976274.85,-0.011124845488257108,-0.253706064434621,13678.333333333334,1130800.4666666666,0.023516510296088658,-0.35568827438875594,13774.583333333334,1206988.7916666667,0.01636468132732383,-0.3963589347056558,0.0,0.014285714285714285,-0.010714285714285714,-0.0035587188612099642,0.4695673922514643
2015-11-10,13900,14000,13750,14000,918611,6.98,7.07,0.47,14010.0,761332.4,-0.0007137758743754461,0.20658335307941705,14010.0,872263.7,-0.0007137758743754461,0.053134505081433574,14157.5,969668.15,-0.011124845488257108,-0.05265425083828939,13679.166666666666,1130171.9,0.023454157782516038,-0.18719355878517235,13771.25,1208076.7833333334,0.01661069256603431,-0.2396087627266849,-0.007142857142857143,0.0,-0.017857142857142856,0.0,0.26080995020505415
2015-11-11,13950,14000,13750,13750,905805,6.98,7.07,0.47,13960.0,755846.2,-0.01504297994269341,0.1983985630939205,13975.0,867750.5,-0.016100178890876567,0.043854195416770145,14142.5,956898.0,-0.027753226091567967,-0.05339440567333195,13685.0,1125423.8666666667,0.0047497259773474606,-0.19514324617723292,13763.75,1209860.1333333333,-0.000999000999000999,-0.2513142841525152,-0.0035714285714285713,0.01818181818181818,0.0,-0.017857142857142856,-0.013940612511716058
