Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2015-05-19,227500,228500,225500,226000,145194,12.53,0.91,7.85,230600.0,210219.6,-0.0199479618386817,-0.3093222515883391,233750.0,192804.9,-0.033155080213903745,-0.24693822615504063,237600.0,219487.35,-0.04882154882154882,-0.33848579428381637,244016.66666666666,212577.98333333334,-0.0738337545249641,-0.31698477084370374,244204.16666666666,233900.85833333334,-0.07454486512310392,-0.3792498196262141,0.0022026431718061676,0.011061946902654867,-0.0022123893805309734,-0.004405286343612335,-0.3100816817216359
2015-05-20,228000,233000,227500,232000,242552,12.53,0.91,7.85,230000.0,208868.8,0.008695652173913044,0.16126487057904298,233250.0,201316.4,-0.0053590568060021436,0.20482981018933383,237150.0,221992.9,-0.021716213367067257,0.09261152045853721,243741.66666666666,213302.38333333333,-0.048172587096994735,0.1371274723215704,244183.33333333334,234877.875,-0.049894205173708316,0.03267283050819495,0.008849557522123894,0.004310344827586207,-0.01939655172413793,0.02654867256637168,0.6705373500282381
2015-05-21,233000,233500,230000,232000,223723,12.53,0.91,7.85,229500.0,214921.4,0.010893246187363835,0.04095264594405213,232650.0,205938.0,-0.0027938964109176876,0.08636094358496246,236850.0,221833.55,-0.02047709520793751,0.008517422184336012,243450.0,214527.0,-0.04703224481413021,0.042866399101278624,244095.83333333334,234816.7,-0.049553624771691486,-0.0472440844284074,0.004310344827586207,0.00646551724137931,-0.008620689655172414,0.0,-0.0776287146673703
2015-05-22,232000,233000,230000,231500,282824,12.53,0.91,7.85,229700.0,220948.8,0.00783630822812364,0.2800431593201684,232050.0,214156.4,-0.002370178840767076,0.3206422969381256,236450.0,224512.3,-0.020934658490167055,0.25972608182268864,243125.0,217154.13333333333,-0.04781491002570694,0.30241131337741056,244012.5,235357.0,-0.05127811075252292,0.20168085079262568,0.0,0.0064794816414686825,-0.0064794816414686825,-0.0021551724137931034,0.2641704250345293
2015-05-26,229500,230500,226000,227000,310581,12.53,0.91,7.85,229700.0,240974.8,-0.011754462342185459,0.2888526103144396,231150.0,228477.0,-0.017953709712308027,0.35935345789729384,235500.0,224239.15,-0.036093418259023353,0.3850436018866465,242750.0,219768.38333333333,-0.06488156539649846,0.41321966012247896,243900.0,236962.51666666666,-0.06929069290692907,0.31067564764638234,-0.008639308855291577,0.015418502202643172,-0.004405286343612335,-0.019438444924406047,0.09814230758351483
2015-05-27,226500,230000,224000,225500,295843,12.53,0.91,7.85,229600.0,271104.6,-0.017857142857142856,0.09125038822653701,230100.0,240662.1,-0.019991308126901346,0.2292878687587285,234150.0,215132.0,-0.0369421311125347,0.37516966327650003,242350.0,219975.18333333332,-0.06952754280998556,0.344892617053545,243704.16666666666,236884.75833333333,-0.07469780642513973,0.24888997536812116,-0.0022026431718061676,0.019955654101995565,-0.0066518847006651885,-0.006607929515418502,-0.04745299937858401
2015-05-28,224000,227500,224000,226500,207181,12.53,0.91,7.85,228500.0,264030.4,-0.0087527352297593,-0.21531384264842238,229250.0,236449.6,-0.011995637949836423,-0.12378367313795416,233300.0,207922.8,-0.02914702100300043,-0.0035676703084028707,242000.0,220480.91666666666,-0.0640495867768595,-0.060322303026225585,243533.33333333334,237520.58333333334,-0.06994251300301126,-0.12773454370796639,-0.0066518847006651885,0.004415011037527594,-0.011037527593818985,0.004434589800443459,-0.29969274243433175
2015-05-29,224000,226000,222000,223500,366439,12.53,0.91,7.85,226800.0,292573.6,-0.01455026455026455,0.25246775512213004,228150.0,253747.5,-0.020381328073635765,0.4441088089537828,232450.0,216222.75,-0.038502903850290385,0.6947291624031237,241458.33333333334,221697.93333333332,-0.07437446074201902,0.6528751282901751,243320.83333333334,239285.35833333334,-0.08145966402383688,0.5313891437082287,-0.011037527593818985,0.011185682326621925,-0.006711409395973154,-0.013245033112582781,0.7686901791187416
2015-06-01,221500,223000,217000,218500,407987,12.53,0.91,7.85,224200.0,317606.2,-0.025423728813559324,0.28456875212133764,226950.0,269277.5,-0.037232870676360434,0.5151173046392662,231400.0,227639.45,-0.0557476231633535,0.792250859857551,240858.33333333334,224993.86666666667,-0.09282773414524448,0.8133249854514553,243129.16666666666,241256.80833333332,-0.10130074891604253,0.6910900994607511,-0.008948545861297539,0.020594965675057208,-0.006864988558352402,-0.02237136465324385,0.11338312788758838
2015-06-02,216000,216500,197500,200000,1184163,12.53,0.91,7.85,218800.0,492322.6,-0.08592321755027423,1.405258259523329,224250.0,366648.7,-0.10813823857302118,2.229693709537222,229575.0,277933.65,-0.12882500272242187,3.2605960091554222,239950.0,242934.26666666666,-0.1664930193790373,3.8744173320958706,242779.16666666666,249952.05833333332,-0.1762060857775413,3.7375605061864032,-0.011441647597254004,0.0825,-0.0125,-0.08466819221967964,1.9024527742305515
