date,open,high,low,close,volume,roe,per,pbr,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,Date,SA,economics,IT,finance,social,politics
2017-09-13,352500,353000,346500,346500,27612,10.91,14.33,1.53,350200.0,17992.4,-0.010565391205026,0.534647962473044,351150.0,22245.1,-0.013242204186245,0.241262120646794,353000.0,23890.0,-0.018413597733711002,0.155797404771871,358191.66666666704,31023.7333333333,-0.032640811483610005,-0.10997172057521601,358825.0,36356.6083333333,-0.034348219884345,-0.24052321528892104,0.0,0.018759018759019,0.0,-0.017021276595745,0.389772498490034,2017-09-13,,0,1,0,0,0
2017-09-13,352500,353000,346500,346500,27612,10.91,14.33,1.53,350200.0,17992.4,-0.010565391205026,0.534647962473044,351150.0,22245.1,-0.013242204186245,0.241262120646794,353000.0,23890.0,-0.018413597733711002,0.155797404771871,358191.66666666704,31023.7333333333,-0.032640811483610005,-0.10997172057521601,358825.0,36356.6083333333,-0.034348219884345,-0.24052321528892104,0.0,0.018759018759019,0.0,-0.017021276595745,0.389772498490034,2017-09-13,,0,0,1,0,0
2017-09-13,352500,353000,346500,346500,27612,10.91,14.33,1.53,350200.0,17992.4,-0.010565391205026,0.534647962473044,351150.0,22245.1,-0.013242204186245,0.241262120646794,353000.0,23890.0,-0.018413597733711002,0.155797404771871,358191.66666666704,31023.7333333333,-0.032640811483610005,-0.10997172057521601,358825.0,36356.6083333333,-0.034348219884345,-0.24052321528892104,0.0,0.018759018759019,0.0,-0.017021276595745,0.389772498490034,2017-09-13,,0,0,0,1,0
2017-09-14,347500,348500,345000,345500,37588,10.91,14.33,1.53,349300.0,22682.8,-0.010878900658459999,0.6571146419313311,349450.0,22925.0,-0.011303476892258999,0.6396074154852779,352350.0,24172.75,-0.019440896835533,0.554974092728382,357733.33333333296,30876.383333333302,-0.034196794632874,0.217370557756387,358812.5,36470.6666666667,-0.037101550252569004,0.030636493254852997,0.0028860028860029996,0.008683068017366,-0.001447178002894,-0.0028860028860029996,0.361292191800666,2017-09-14,,0,0,0,0,1
2017-09-14,347500,348500,345000,345500,37588,10.91,14.33,1.53,349300.0,22682.8,-0.010878900658459999,0.6571146419313311,349450.0,22925.0,-0.011303476892258999,0.6396074154852779,352350.0,24172.75,-0.019440896835533,0.554974092728382,357733.33333333296,30876.383333333302,-0.034196794632874,0.217370557756387,358812.5,36470.6666666667,-0.037101550252569004,0.030636493254852997,0.0028860028860029996,0.008683068017366,-0.001447178002894,-0.0028860028860029996,0.361292191800666,2017-09-14,1.0,1,0,0,0,0
2017-09-14,347500,348500,345000,345500,37588,10.91,14.33,1.53,349300.0,22682.8,-0.010878900658459999,0.6571146419313311,349450.0,22925.0,-0.011303476892258999,0.6396074154852779,352350.0,24172.75,-0.019440896835533,0.554974092728382,357733.33333333296,30876.383333333302,-0.034196794632874,0.217370557756387,358812.5,36470.6666666667,-0.037101550252569004,0.030636493254852997,0.0028860028860029996,0.008683068017366,-0.001447178002894,-0.0028860028860029996,0.361292191800666,2017-09-14,,0,1,0,0,0
2017-09-14,347500,348500,345000,345500,37588,10.91,14.33,1.53,349300.0,22682.8,-0.010878900658459999,0.6571146419313311,349450.0,22925.0,-0.011303476892258999,0.6396074154852779,352350.0,24172.75,-0.019440896835533,0.554974092728382,357733.33333333296,30876.383333333302,-0.034196794632874,0.217370557756387,358812.5,36470.6666666667,-0.037101550252569004,0.030636493254852997,0.0028860028860029996,0.008683068017366,-0.001447178002894,-0.0028860028860029996,0.361292191800666,2017-09-14,,0,0,1,0,0
2017-09-14,347500,348500,345000,345500,37588,10.91,14.33,1.53,349300.0,22682.8,-0.010878900658459999,0.6571146419313311,349450.0,22925.0,-0.011303476892258999,0.6396074154852779,352350.0,24172.75,-0.019440896835533,0.554974092728382,357733.33333333296,30876.383333333302,-0.034196794632874,0.217370557756387,358812.5,36470.6666666667,-0.037101550252569004,0.030636493254852997,0.0028860028860029996,0.008683068017366,-0.001447178002894,-0.0028860028860029996,0.361292191800666,2017-09-14,,0,0,0,1,0
2017-09-15,346000,352000,345000,350500,32775,10.91,14.33,1.53,349500.0,26803.0,0.0028612303290409995,0.22281087937917396,349050.0,22916.8,0.004154132645753,0.43017349717238,352125.0,24669.2,-0.004614838480653,0.32857976748333895,357350.0,30863.8333333333,-0.019168882048412,0.061922530685861996,358825.0,36342.3666666667,-0.023200724587194,-0.09815999875260399,0.001447178002894,0.004279600570613,-0.015691868758916,0.014471780028944,-0.128046184952644,2017-09-15,,0,0,0,0,1
2017-09-15,346000,352000,345000,350500,32775,10.91,14.33,1.53,349500.0,26803.0,0.0028612303290409995,0.22281087937917396,349050.0,22916.8,0.004154132645753,0.43017349717238,352125.0,24669.2,-0.004614838480653,0.32857976748333895,357350.0,30863.8333333333,-0.019168882048412,0.061922530685861996,358825.0,36342.3666666667,-0.023200724587194,-0.09815999875260399,0.001447178002894,0.004279600570613,-0.015691868758916,0.014471780028944,-0.128046184952644,2017-09-15,1.0,1,0,0,0,0
