,Date,Category,Title
189,2014-01-21,4,"SKT, 차량 원격·제어관리 T카 출시…""차량관리는 스마트하게"""
190,2014-01-21,4,"현대기아차, 설날 특별점검 서비스"
191,2014-01-21,4,"이상화 선수, 기아차 홍보대사 위촉"
192,2014-01-21,5,
193,2014-01-21,6,광주시에 행복주택 1400가구 공급
194,2014-01-21,7,
195,2014-01-21,8,"광주시, 행복주택 1200세대 건설"
196,2014-01-21,9,
197,2014-01-21,10,
198,2014-01-21,11,
199,2014-01-22,2,
200,2014-01-22,3,
201,2014-01-22,4,"LG화학, 독자 개발 2차 전지기술 유럽·日 특허청 등록"
202,2014-01-22,4,"""환율 발목"" 현대차 영업이익률 한 자릿수"
203,2014-01-22,4,"현대차, 美서 버라이즌 무선통신망 쓴다"
204,2014-01-22,5,
205,2014-01-22,6,
206,2014-01-22,7,
207,2014-01-22,8,"광주 북구, 행복주택 1200가구 유치 성공"
208,2014-01-22,9,
209,2014-01-22,10,
210,2014-01-22,11,
211,2014-01-23,2,
212,2014-01-23,3,
213,2014-01-23,4,"글로벌 현대기아, 10년간 이렇게 변했다"
214,2014-01-23,5,
215,2014-01-23,6,
216,2014-01-23,7,
217,2014-01-23,8,
218,2014-01-23,9,
219,2014-01-23,10,
220,2014-01-23,11,
221,2014-01-24,2,
222,2014-01-24,3,
223,2014-01-24,4,"현대기아차 1차협력사, 작년 1만7000명 뽑았다"
224,2014-01-24,4,"기아차, 하이브리드차량으로 가상 월드투어"
225,2014-01-24,4,日 도요타 '부활'…현대기아차 성장 제동걸리나
226,2014-01-24,4,"기아차, 작년 매출 47.6조 전년比 0.8%↑ (1보)"
227,2014-01-24,4,"기아차, 작년 영업익 3.2조 전년比 9.8%↓ (2보)"
228,2014-01-24,4,"기아차, 작년 영업이익 감소폭 10% 육박(상보)"
229,2014-01-24,4,"기아차 ""올해 국내 출시 신차 카니발 등 6종"""
230,2014-01-24,4,"[컨콜]기아차 ""쏘울 전기차, 2분기 국내 출시"""
231,2014-01-24,4,"[컨콜]기아차 ""올해 국내 신차 6종…해외도 잇따라 신차 투입""(상보)"
232,2014-01-24,4,"'최대 매출' 현대기아차, 영업이익 급브레이크(종합)"
233,2014-01-24,4,수익성 떨어졌는데…더 세게 간다 현대기아
234,2014-01-24,5,"기아차, 보통 1주당 700원 현금배당 결정"
235,2014-01-24,5,"코스피, '어닝쇼크' 속 1940선 턱걸이 마감…車↓"
236,2014-01-24,5,"코스피, 1920선 후퇴…연기금 매도세 강화, 車↓"
237,2014-01-24,6,
238,2014-01-24,7,
239,2014-01-24,8,
240,2014-01-24,9,
241,2014-01-24,10,
242,2014-01-24,11,
243,2014-01-27,2,
244,2014-01-27,3,
245,2014-01-27,4,
246,2014-01-27,5,"""아르헨티나 쇼크"", 코스피 30p 급락…1910 턱걸이 마감"
247,2014-01-27,5,"4분기 어닝쇼크, 우려가 현실로"
248,2014-01-27,5,"""車 담는 기관"" 코스피 낙폭 축소…1910 회복"
249,2014-01-27,6,
250,2014-01-27,7,
251,2014-01-27,8,
252,2014-01-27,9,
253,2014-01-27,10,
254,2014-01-27,11,
255,2014-01-28,2,
256,2014-01-28,3,
257,2014-01-28,4,[2014 그린카]김해진 현대기아차 사장
258,2014-01-28,4,"車업계 슬로건 보니, 요즘 심정 보이네"
259,2014-01-28,4,[포토]제4회 그린카어워드 시상식 개최
260,2014-01-28,4,[포토]'제4회 그린카 어워드 시상식' 개최
261,2014-01-28,4,"[2014 그린카]기아차, 친환경차 라인업 강화"
262,2014-01-28,4,[포토]산업통상자원부 장관상 수상하는 김해진 현대기아차 사장
263,2014-01-28,4,[2014 그린카]녹색車가 달린다…장관상에 김해진 현대차 사장
264,2014-01-28,5,"현대모비스, 업종 내 가장 두드러진 실적<삼성證>"
265,2014-01-28,5,"코스피, 1910 전후 혼조 지속…외국인vs기관"
266,2014-01-28,5,[증시 뒷담화]현증시 장기투자엔 저가매수 기회
267,2014-01-28,5,"""車 담는 기관"", 코스피 상승 가닥…1910선"
268,2014-01-28,5,"""車 담은 기관"" 코스피, 신흥국 우려 딛고 상승마감"
269,2014-01-28,6,
270,2014-01-28,7,
271,2014-01-28,8,
272,2014-01-28,9,
273,2014-01-28,10,
274,2014-01-28,11,
275,2014-01-29,2,
276,2014-01-29,3,
277,2014-01-29,4,"""현대기아차, 日 하이브리드 기술 따라잡았다"""
278,2014-01-29,4,[한국형 경영패러다임 3.0]위기의 도요타·폴크스바겐 구한 건 '노조'
279,2014-01-29,4,"기업 3구동성 ""긴축"" …올 철조망 통과 예고"
280,2014-01-29,4,신형 제네시스·쏘울 獨 iF 디자인상
281,2014-01-29,5,'신흥국 금융위기 완화' 코스피 상승출발…1930선 회복
282,2014-01-29,5,"코스피, 기관 '사자'…1930선 안착시도"
283,2014-01-29,5,"설 앞둔 코스피, 2거래일 연속 상승마감…1940선 회복"
284,2014-01-29,6,
285,2014-01-29,7,
286,2014-01-29,8,
287,2014-01-29,9,
288,2014-01-29,10,
289,2014-01-29,11,
290,2014-02-03,2,
291,2014-02-03,3,
292,2014-02-03,4,'1초에 억단위' 현대기아차 슈퍼볼 광고보니
293,2014-02-03,4,"기아차, 1월 내수판매 3만4000대…전년比 6.2%↓"
