2015-10-21,374500,376000,367500,370500,56374
2015-10-22,368500,369000,356000,359000,109085
2015-10-23,363000,365000,357500,361500,67520
2015-10-26,364500,367500,358500,367000,44688
2015-10-27,365000,368000,360500,367500,29762
2015-10-28,367500,372000,362500,371000,37737
2015-10-29,367500,368500,357000,360500,48094
2015-10-30,360000,360500,345500,350000,86792
2015-11-02,349000,358000,348500,354500,29260
2015-11-03,355500,359500,355500,358500,33113
2015-11-04,358000,363000,353500,360000,28165
2015-11-05,361000,361000,352000,355000,38015
2015-11-06,355000,368000,351500,362000,60363
2015-11-09,360000,361500,340000,345000,73918
2015-11-10,345000,345500,333500,336500,61340
2015-11-11,333500,341000,333000,339500,39030
2015-11-12,337000,338000,330000,334500,39281
2015-11-13,330500,339500,328500,338000,30323
2015-11-16,332000,336000,331000,334000,28062
2015-11-17,335000,346000,334000,343500,33044
2015-11-18,343500,343500,335000,338000,24993
2015-11-19,340000,351500,338500,348000,38408
2015-11-20,348000,349000,342000,348000,23652
2015-11-23,349000,349000,343000,348000,20315
2015-11-24,346000,358500,345500,352500,35751
2015-11-25,353000,365000,353000,358500,47655
2015-11-26,357000,367000,357000,363500,38167
2015-11-27,367000,367500,359500,361000,33755
2015-11-30,359500,364000,357500,360500,46492
2015-12-01,364500,370000,362000,368500,28514
2015-12-02,365500,369000,360000,361000,35285
2015-12-03,357500,361000,352500,359500,27548
2015-12-04,357500,358000,351500,354000,26117
2015-12-07,355500,358500,351000,353500,18482
2015-12-08,351000,354000,347000,349500,38096
2015-12-09,349500,358000,347000,348500,28682
2015-12-10,347500,352500,346000,348500,24316
2015-12-11,348500,353000,347000,351500,28527
2015-12-14,347000,348000,341000,344000,30926
2015-12-15,347000,347000,338000,341000,27386
2015-12-16,342500,351000,342000,348500,35573
2015-12-17,352500,363500,351500,360000,50880
2015-12-18,360000,362500,352500,359000,30782
2015-12-21,362500,371000,360500,366000,29701
2015-12-22,369000,370000,362500,364500,15122
2015-12-23,363000,371500,362500,366000,24791
2015-12-24,366500,369000,361500,363000,24297
2015-12-28,368500,377000,366500,374500,64366
2015-12-29,371000,383500,371000,383000,53933
2015-12-30,383000,383000,375000,377500,32965
2016-01-04,375000,377500,369000,371000,31318
2016-01-05,366000,376000,362000,371000,63870
2016-01-06,371000,385000,369000,384000,64290
2016-01-07,383000,394500,383000,388000,71632
2016-01-08,385500,393500,376000,390500,50029
2016-01-11,386500,396500,386500,391500,46899
2016-01-12,392000,401000,388500,396500,70410
2016-01-13,402000,426000,400500,422500,140103
2016-01-14,417500,428000,412000,421000,91786
2016-01-15,424500,424500,406500,409500,61341
2016-01-18,404500,420500,402000,417000,48141
2016-01-19,420000,427500,415500,416500,51557
2016-01-20,418000,429500,405500,415500,68099
2016-01-21,420500,422000,411500,417000,32845
2016-01-22,420500,421000,409500,413500,36777
2016-01-25,421000,422000,408000,410000,55390
2016-01-26,411000,418500,404000,412500,39421
2016-01-27,418500,418500,398000,400500,78787
2016-01-28,400500,410000,398500,403500,42828
2016-01-29,403500,412000,400000,411500,61955
2016-02-01,409500,422000,406500,412500,40923
2016-02-02,410000,413000,402000,409000,46808
2016-02-03,404000,408000,400000,405000,42836
2016-02-04,405000,405000,394500,399500,72320
2016-02-05,385000,387000,369000,374500,226425
2016-02-11,365500,374000,361000,368000,79769
2016-02-12,364000,366500,350000,356000,86421
2016-02-15,356000,360500,354500,355500,45563
2016-02-16,355500,368000,355500,364000,51575
2016-02-17,360500,366000,350500,355000,67557
2016-02-18,361500,361500,350000,354000,83462
2016-02-19,354000,369000,352500,365500,59666
2016-02-22,363000,368000,362000,365000,34423
2016-02-23,367000,368500,360500,364500,39360
2016-02-24,366500,369000,363000,365500,28411
2016-02-25,367000,368500,356500,359500,52493
2016-02-26,361500,362000,357500,360500,29215
2016-02-29,360500,367500,358000,362000,46901
2016-03-02,366500,367500,356500,362500,74424
