,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
820,2017-04-28,48500,50400,48500,50100,1009719,10.18,8.01,0.74
821,2017-05-02,50500,51600,50200,51300,1075046,10.18,8.01,0.74
822,2017-05-04,51200,52300,51200,51900,1015103,10.18,8.01,0.74
823,2017-05-08,53000,53500,51600,53500,1965909,10.18,8.01,0.74
824,2017-05-10,54400,54900,52900,53000,2126722,10.18,8.01,0.74
825,2017-05-11,53900,54000,53100,53900,1636521,10.18,8.01,0.74
826,2017-05-12,54000,54100,52800,52900,878725,10.18,8.01,0.74
827,2017-05-15,53400,54000,53000,54000,653401,10.18,8.01,0.74
828,2017-05-16,54300,54700,53600,54000,649650,10.18,8.01,0.74
829,2017-05-17,54200,54300,52500,53400,841444,10.18,8.01,0.74
830,2017-05-18,52100,53200,52000,52900,1191651,10.18,8.01,0.74
831,2017-05-19,52600,53400,52400,52900,1176932,10.18,8.01,0.74
832,2017-05-22,53400,53400,52500,52900,1043988,10.18,8.01,0.74
833,2017-05-23,54000,54500,53600,53900,1526302,10.18,8.01,0.74
834,2017-05-24,54200,54300,53000,53200,754106,10.18,8.01,0.74
835,2017-05-25,53500,53900,53100,53800,877112,10.18,8.01,0.74
836,2017-05-26,54000,54500,54000,54500,1462696,10.18,8.01,0.74
837,2017-05-29,54600,54600,53500,54000,925869,10.18,8.01,0.74
838,2017-05-30,53500,54100,53300,53700,724058,10.18,8.01,0.74
839,2017-05-31,53400,53600,52800,53600,1613963,10.18,8.01,0.74
840,2017-06-01,52900,53200,52400,52600,1019253,10.18,8.01,0.74
841,2017-06-02,52900,54000,52800,53900,1075889,10.18,8.01,0.74
842,2017-06-05,54500,55200,53900,55000,1719658,10.18,8.01,0.74
843,2017-06-07,55000,55400,54600,55400,1313831,10.18,8.01,0.74
844,2017-06-08,55500,55800,55000,55700,2197149,10.18,8.01,0.74
845,2017-06-09,55200,56200,55000,55900,1167254,10.18,8.01,0.74
846,2017-06-12,56500,56900,55800,56300,870522,10.18,8.01,0.74
847,2017-06-13,56500,56700,55200,55600,562317,10.18,8.01,0.74
848,2017-06-14,55600,56400,55200,55700,1062118,10.18,8.01,0.74
849,2017-06-15,55200,55900,54200,54900,714613,10.18,8.01,0.74
850,2017-06-16,54900,55500,54400,55500,938141,10.18,8.01,0.74
851,2017-06-19,55000,55800,55000,55600,570138,10.18,8.01,0.74
852,2017-06-20,55100,55900,55000,55400,628465,10.18,8.01,0.74
853,2017-06-21,55400,55400,53700,54200,1257868,10.18,8.01,0.74
854,2017-06-22,54000,55000,53800,55000,891609,10.18,8.01,0.74
855,2017-06-23,55200,55900,55100,55200,981702,10.18,8.01,0.74
856,2017-06-26,55000,55500,54500,54900,483785,10.18,8.01,0.74
857,2017-06-27,55000,55700,54800,54900,702481,10.18,8.01,0.74
858,2017-06-28,55600,56400,55100,56300,2091508,10.18,8.01,0.74
859,2017-06-29,56700,58600,56600,57800,1204537,10.18,8.01,0.74
860,2017-06-30,57800,58100,57400,57700,924570,10.18,8.01,0.74
861,2017-07-03,58100,58100,57100,57800,826705,10.18,8.01,0.74
862,2017-07-04,58200,58700,57500,57800,843615,10.18,8.01,0.74
863,2017-07-05,57700,57800,57000,57300,812314,10.18,8.01,0.74
864,2017-07-06,57300,58300,57300,58100,749870,10.18,8.01,0.74
865,2017-07-07,56800,57500,56500,56700,9568439,10.18,8.01,0.74
866,2017-07-10,57000,57700,56900,57400,1170186,10.18,8.01,0.74
867,2017-07-11,57500,57500,57000,57000,1025680,10.18,8.01,0.74
868,2017-07-12,56800,57400,56700,57200,1050342,10.18,8.01,0.74
869,2017-07-13,57100,57300,56500,56600,1131594,10.18,8.01,0.74
870,2017-07-14,56800,57700,56800,57300,1024307,10.18,8.01,0.74
871,2017-07-17,57400,57500,56900,57400,702091,10.18,8.01,0.74
872,2017-07-18,57100,57500,57000,57400,973501,10.18,8.01,0.74
873,2017-07-19,57500,57700,56000,56600,1260308,10.18,8.01,0.74
874,2017-07-20,56800,57500,56700,57400,760455,10.18,8.01,0.74
875,2017-07-21,58700,59800,58200,59800,2680425,10.18,8.01,0.74
876,2017-07-24,59900,60200,59300,60200,1256246,10.18,8.01,0.74
877,2017-07-25,60500,60500,59400,59600,779498,10.18,8.01,0.74
878,2017-07-26,60300,60300,59500,60100,895907,10.18,8.01,0.74
879,2017-07-27,60100,60100,58600,59700,873595,10.18,8.01,0.74
880,2017-07-28,59000,59700,58500,58600,802147,10.18,8.01,0.74
881,2017-07-31,58100,59400,57900,59400,759828,10.18,8.01,0.74
882,2017-08-01,59400,60000,58700,59800,917155,10.18,8.01,0.74
883,2017-08-02,60300,60300,58000,58200,1415480,10.18,8.01,0.74
884,2017-08-03,57900,58200,56500,57300,1711986,10.18,8.01,0.74
885,2017-08-04,58500,58500,57200,57700,1059392,10.18,8.01,0.74
886,2017-08-07,58000,59200,57600,59000,919186,10.18,8.01,0.74
887,2017-08-08,58800,59200,58300,58700,513789,10.18,8.01,0.74
888,2017-08-09,58200,58600,57500,58000,871713,10.18,8.01,0.74
889,2017-08-10,57300,58000,57100,58000,876336,10.18,8.01,0.74
890,2017-08-11,57000,57100,55600,56400,1525844,10.18,8.01,0.74
891,2017-08-14,56400,57400,56200,56800,798994,10.18,8.01,0.74
892,2017-08-16,58400,58500,57000,57300,783822,10.18,8.01,0.74
893,2017-08-17,57400,57500,56700,57000,599562,10.18,8.01,0.74
894,2017-08-18,56100,57000,56100,56500,448520,10.18,8.01,0.74
895,2017-08-21,56500,56800,55700,56200,721598,10.18,8.01,0.74
896,2017-08-22,56000,56500,55700,56100,603342,10.18,8.01,0.74
897,2017-08-23,56300,56600,56000,56600,656173,10.18,8.01,0.74
898,2017-08-24,56100,56600,55500,55600,958071,10.18,8.01,0.74
899,2017-08-25,55600,57200,55600,57200,714261,10.18,8.01,0.74
900,2017-08-28,56600,57100,56100,57100,558313,10.18,8.01,0.74
901,2017-08-29,56500,56800,55600,56400,658208,10.18,8.01,0.74
902,2017-08-30,56600,57000,56400,56600,575658,10.18,8.01,0.74
903,2017-08-31,56200,56300,55000,55400,1195420,10.18,8.01,0.74
904,2017-09-01,55400,55800,54800,54900,822388,10.18,8.01,0.74
905,2017-09-04,53800,54900,53700,53900,774741,10.18,8.01,0.74
906,2017-09-05,54000,54200,50800,51100,2245667,10.18,8.01,0.74
907,2017-09-06,50600,51500,49350,51100,2645919,10.18,8.01,0.74
908,2017-09-07,51500,52400,51500,52000,1223579,10.18,8.01,0.74
909,2017-09-08,52100,52200,51200,51800,935084,10.18,8.01,0.74
910,2017-09-11,52000,53100,51600,52800,1199315,10.18,8.01,0.74
911,2017-09-12,53100,53500,52800,53100,713065,10.18,8.01,0.74
912,2017-09-13,53100,53400,52100,52800,781050,10.18,8.01,0.74
913,2017-09-14,52300,53600,52000,53600,1051118,10.18,8.01,0.74
