,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
757,2017-01-26,55000,55500,53200,53200,1226161,13.69,11.11,1.44
758,2017-01-31,53500,55700,53400,55400,1376669,13.69,11.11,1.44
759,2017-02-01,55800,58000,55800,57900,2286272,13.69,11.11,1.44
760,2017-02-02,58500,59400,57300,58300,1824780,13.69,11.11,1.44
761,2017-02-03,58700,59100,57400,58200,780014,13.69,11.11,1.44
762,2017-02-06,58800,59100,57700,58600,852582,13.69,11.11,1.44
763,2017-02-07,58900,59300,58200,58800,754879,13.69,11.11,1.44
764,2017-02-08,59000,60400,58600,60400,1795800,13.69,11.11,1.44
765,2017-02-09,60400,61900,60100,61500,1352533,13.69,11.11,1.44
766,2017-02-10,61800,61900,61200,61300,740823,13.69,11.11,1.44
767,2017-02-13,61600,62000,59600,60700,1012067,13.69,11.11,1.44
768,2017-02-14,61000,61600,60600,61600,720671,13.69,11.11,1.44
769,2017-02-15,61700,62900,61700,62200,899514,13.69,11.11,1.44
770,2017-02-16,62300,62700,61300,62700,727097,13.69,11.11,1.44
771,2017-02-17,62600,62700,61200,61400,795235,13.69,11.11,1.44
772,2017-02-20,61100,62100,60700,62000,481297,13.69,11.11,1.44
773,2017-02-21,62100,62800,61900,62100,443630,13.69,11.11,1.44
774,2017-02-22,62700,63000,62300,62900,703290,13.69,11.11,1.44
775,2017-02-23,62900,63300,62200,63100,773393,13.69,11.11,1.44
776,2017-02-24,63200,63600,62200,62700,825344,13.69,11.11,1.44
777,2017-02-27,63200,63200,58800,59000,2350933,13.69,11.11,1.44
778,2017-02-28,58700,60000,58200,59800,1519971,13.69,11.11,1.44
779,2017-03-02,60700,62200,60600,61600,1329490,13.69,11.11,1.44
780,2017-03-03,61300,62400,60600,62200,1001078,13.69,11.11,1.44
781,2017-03-06,61500,62000,59900,60300,959701,13.69,11.11,1.44
782,2017-03-07,61600,63300,61500,63300,1734620,13.69,11.11,1.44
783,2017-03-08,63400,65400,63300,64900,1777042,13.69,11.11,1.44
784,2017-03-09,65500,65800,64100,64800,1196256,13.69,11.11,1.44
785,2017-03-10,64200,64800,63800,64100,940025,13.69,11.11,1.44
786,2017-03-13,65000,65700,64500,65300,733138,13.69,11.11,1.44
787,2017-03-14,66700,67400,66600,67100,1602346,13.69,11.11,1.44
788,2017-03-15,67300,67900,66800,67800,891284,13.69,11.11,1.44
789,2017-03-16,68400,68500,67000,68100,916464,13.69,11.11,1.44
790,2017-03-17,67900,69700,67700,68900,1175426,13.69,11.11,1.44
791,2017-03-20,68500,68600,66700,67200,1130043,13.69,11.11,1.44
792,2017-03-21,67900,67900,66500,66900,1356321,13.69,11.11,1.44
793,2017-03-22,67300,69600,67300,69200,1353787,13.69,11.11,1.44
794,2017-03-23,70200,72200,70100,72000,2098932,13.69,11.11,1.44
795,2017-03-24,73000,73900,71600,72200,1365959,13.69,11.11,1.44
796,2017-03-27,72600,72600,70400,71300,868109,13.69,11.11,1.44
797,2017-03-28,72000,72100,69800,70700,932883,13.69,11.11,1.44
798,2017-03-29,70400,71000,69200,70100,1062889,13.69,11.11,1.44
799,2017-03-30,70100,70200,66500,68100,2225859,13.69,11.11,1.44
800,2017-03-31,68300,68700,66900,67900,1201094,13.69,11.11,1.44
801,2017-04-03,68400,69900,68300,68700,964628,13.69,11.11,1.44
802,2017-04-04,69200,69200,68000,68300,583153,13.69,11.11,1.44
803,2017-04-05,68300,69000,66500,67200,1116475,13.69,11.11,1.44
804,2017-04-06,66900,70700,66300,70600,1571616,13.69,11.11,1.44
805,2017-04-07,71200,72200,69800,70900,1754356,13.69,11.11,1.44
806,2017-04-10,70700,70900,67900,67900,1306155,13.69,11.11,1.44
807,2017-04-11,68100,69800,68100,69500,1032197,13.69,11.11,1.44
808,2017-04-12,70000,70100,68900,69100,555051,13.69,11.11,1.44
809,2017-04-13,69300,70300,69200,69500,550004,13.69,11.11,1.44
810,2017-04-14,69000,69000,67800,68300,492819,13.69,11.11,1.44
811,2017-04-17,68700,70200,68700,69600,558900,13.69,11.11,1.44
812,2017-04-18,70000,70300,68900,70000,544965,13.69,11.11,1.44
813,2017-04-19,70700,71500,70100,70700,947412,13.69,11.11,1.44
814,2017-04-20,71300,71400,70400,71100,718589,13.69,11.11,1.44
815,2017-04-21,71100,71300,70400,71000,581937,13.69,11.11,1.44
816,2017-04-24,71400,72200,71300,71700,551940,13.69,11.11,1.44
817,2017-04-25,72000,72200,71500,72200,545785,13.69,11.11,1.44
818,2017-04-26,72800,72900,72300,72700,640000,13.69,11.11,1.44
819,2017-04-27,72700,73400,72000,72300,608575,13.69,11.11,1.44
820,2017-04-28,72000,72100,68700,69100,2295287,13.69,11.11,1.44
821,2017-05-02,69600,71000,69200,70400,1301950,13.69,11.11,1.44
822,2017-05-04,71800,72400,71200,71700,799566,13.69,11.11,1.44
823,2017-05-08,72900,77000,72900,77000,2624129,13.69,11.11,1.44
824,2017-05-10,77100,78800,75900,76300,1904728,13.69,11.11,1.44
825,2017-05-11,77000,79800,76900,79800,1876649,13.69,11.11,1.44
826,2017-05-12,80200,81300,79300,81200,1589519,13.69,11.11,1.44
827,2017-05-15,81800,81800,79200,81000,1261164,13.69,11.11,1.44
828,2017-05-16,81400,82000,78600,79000,1357416,13.69,11.11,1.44
829,2017-05-17,79500,80900,79400,80000,857014,13.69,11.11,1.44
830,2017-05-18,78800,79700,78500,79100,716864,13.69,11.11,1.44
831,2017-05-19,79600,81400,79400,81400,1094715,13.69,11.11,1.44
832,2017-05-22,82200,82300,81100,81600,585488,13.69,11.11,1.44
833,2017-05-23,82200,82200,81000,81100,573284,13.69,11.11,1.44
834,2017-05-24,81200,82400,80900,82300,538991,13.69,11.11,1.44
835,2017-05-25,82800,82800,81700,82300,513491,13.69,11.11,1.44
836,2017-05-26,82300,82400,81300,81900,665382,13.69,11.11,1.44
837,2017-05-29,81700,84300,81700,83500,823722,13.69,11.11,1.44
838,2017-05-30,83700,84100,82300,83500,525707,13.69,11.11,1.44
839,2017-05-31,83500,83600,82100,82500,714803,13.69,11.11,1.44
840,2017-06-01,82700,82900,81300,81300,628909,13.69,11.11,1.44
841,2017-06-02,82100,86900,82100,86600,1869364,13.69,11.11,1.44
842,2017-06-05,87700,88900,86900,87300,998730,13.69,11.11,1.44
843,2017-06-07,86700,87100,84900,85300,1346470,13.69,11.11,1.44
844,2017-06-08,85800,87800,85000,86800,1330511,13.69,11.11,1.44
845,2017-06-09,87500,88800,87300,88300,896973,13.69,11.11,1.44
846,2017-06-12,86800,87000,85200,85600,1341050,13.69,11.11,1.44
847,2017-06-13,85000,86100,83800,85800,1213895,13.69,11.11,1.44
848,2017-06-14,86400,88000,85400,85900,987899,13.69,11.11,1.44
849,2017-06-15,85900,87700,85300,87300,877550,13.69,11.11,1.44
850,2017-06-16,87200,87500,85800,86100,737508,13.69,11.11,1.44
851,2017-06-19,86100,86900,84800,86200,662054,13.69,11.11,1.44
852,2017-06-20,87300,87500,85700,86000,628514,13.69,11.11,1.44
853,2017-06-21,86000,86300,84100,85900,722785,13.69,11.11,1.44
854,2017-06-22,85300,86100,81300,81900,2179462,13.69,11.11,1.44
855,2017-06-23,82500,84100,81800,84100,1151493,13.69,11.11,1.44
856,2017-06-26,84600,85500,83600,85100,734655,13.69,11.11,1.44
857,2017-06-27,84300,84800,82200,82300,1431967,13.69,11.11,1.44
858,2017-06-28,81900,82000,78500,79300,1989102,13.69,11.11,1.44
859,2017-06-29,80300,81200,79500,79700,1018774,13.69,11.11,1.44
860,2017-06-30,78500,80700,78100,80200,999093,13.69,11.11,1.44
861,2017-07-03,80400,82300,80300,80900,928999,13.69,11.11,1.44
862,2017-07-04,80500,80800,79600,79900,566386,13.69,11.11,1.44
863,2017-07-05,79900,81300,79400,79900,648725,13.69,11.11,1.44
864,2017-07-06,80500,80600,76600,77100,1965678,13.69,11.11,1.44
865,2017-07-07,76400,76400,73800,73900,2330893,13.69,11.11,1.44
866,2017-07-10,72700,72800,70700,70800,3056226,13.69,11.11,1.44
867,2017-07-11,71300,72000,70000,71500,1546488,13.69,11.11,1.44
868,2017-07-12,72000,73000,70800,70800,1208011,13.69,11.11,1.44
869,2017-07-13,71300,72500,71000,71200,1363044,13.69,11.11,1.44
870,2017-07-14,71900,72200,69000,69500,1764528,13.69,11.11,1.44
871,2017-07-17,69900,70400,69700,70100,741053,13.69,11.11,1.44
872,2017-07-18,70300,70700,69600,70000,660135,13.69,11.11,1.44
873,2017-07-19,70200,71400,70200,70500,1017542,13.69,11.11,1.44
874,2017-07-20,70900,71200,69200,69400,956192,13.69,11.11,1.44
875,2017-07-21,69800,70100,68200,68200,1015026,13.69,11.11,1.44
876,2017-07-24,68200,68400,66700,67500,1417600,13.69,11.11,1.44
877,2017-07-25,67500,68200,67300,67500,838858,13.69,11.11,1.44
