,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
712,2016-11-23,47000,47400,46900,47200,1141058,10.19,0.39,4.01
713,2016-11-24,47100,47650,46800,47200,964536,10.19,0.39,4.01
714,2016-11-25,47700,47850,47050,47250,819062,10.19,0.39,4.01
715,2016-11-28,47450,47700,47000,47600,1082474,10.19,0.39,4.01
716,2016-11-29,47400,47550,47100,47100,1116996,10.19,0.39,4.01
717,2016-11-30,47000,47400,46500,46500,1485173,10.19,0.39,4.01
718,2016-12-01,46100,46150,44300,44500,2557351,10.19,0.39,4.01
719,2016-12-02,43950,44050,43000,43450,2340234,10.19,0.39,4.01
720,2016-12-05,43350,43800,43050,43200,1218364,10.19,0.39,4.01
721,2016-12-06,43600,44550,43500,44350,1304664,10.19,0.39,4.01
722,2016-12-07,44400,44500,43400,43800,963418,10.19,0.39,4.01
723,2016-12-08,44400,44450,43600,44300,1664372,10.19,0.39,4.01
724,2016-12-09,44500,46200,44500,45900,2928689,10.19,0.39,4.01
725,2016-12-12,45550,45600,45150,45250,1651347,10.19,0.39,4.01
726,2016-12-13,45150,45650,44550,45650,1589114,10.19,0.39,4.01
727,2016-12-14,45800,46900,45650,46400,1746200,10.19,0.39,4.01
728,2016-12-15,46450,46450,45650,46300,1023424,10.19,0.39,4.01
729,2016-12-16,46100,46400,45650,46100,1140184,10.19,0.39,4.01
730,2016-12-19,45800,46150,45500,45700,940223,10.19,0.39,4.01
731,2016-12-20,45650,46050,45300,45450,941640,10.19,0.39,4.01
732,2016-12-21,45600,45800,45400,45400,1018954,10.19,0.39,4.01
733,2016-12-22,45550,45850,45200,45350,856031,10.19,0.39,4.01
734,2016-12-23,45250,46000,45250,45950,972805,10.19,0.39,4.01
735,2016-12-26,46100,46500,45900,46350,1116725,10.19,0.39,4.01
736,2016-12-27,46550,47100,46400,47000,1991531,10.19,0.39,4.01
737,2016-12-28,45400,45450,44900,45050,1870429,10.19,0.39,4.01
738,2016-12-29,44950,45050,44050,44050,1376653,10.19,0.39,4.01
739,2017-01-02,44200,44600,43850,43900,745355,1.81,0.34,18.86
740,2017-01-03,43900,44150,43800,44100,799544,1.81,0.34,18.86
741,2017-01-04,44450,44600,43700,43900,1562907,1.81,0.34,18.86
742,2017-01-05,44100,44300,43800,44250,809945,1.81,0.34,18.86
743,2017-01-06,44250,44300,43900,44150,1365466,1.81,0.34,18.86
744,2017-01-09,43950,44050,43050,43150,2211245,1.81,0.34,18.86
745,2017-01-10,42900,42950,41900,42250,2767706,1.81,0.34,18.86
746,2017-01-11,42250,43200,42250,43200,1853874,1.81,0.34,18.86
747,2017-01-12,43050,44200,43050,43850,1604990,1.81,0.34,18.86
748,2017-01-13,43800,44650,43550,44600,1513487,1.81,0.34,18.86
749,2017-01-16,44650,44800,43800,44400,1067529,1.81,0.34,18.86
750,2017-01-17,44100,44450,43900,44150,602148,1.81,0.34,18.86
751,2017-01-18,43950,44050,43400,43600,1260376,1.81,0.34,18.86
752,2017-01-19,43600,43850,43050,43350,1016282,1.81,0.34,18.86
753,2017-01-20,43250,43800,43050,43250,808212,1.81,0.34,18.86
754,2017-01-23,43250,43400,42650,42900,1257676,1.81,0.34,18.86
755,2017-01-24,42900,43900,42750,43750,1152617,1.81,0.34,18.86
756,2017-01-25,43900,44000,43150,43600,1106661,1.81,0.34,18.86
757,2017-01-26,43600,43600,43150,43250,1045547,1.81,0.34,18.86
758,2017-01-31,42950,43000,42450,42450,1118324,1.81,0.34,18.86
