,Date,Open,High,Low,Close,Volume,ROE ,PBR ,PER 
965,2017-12-05,18250,18500,18000,18200,281997,1.87,0.44,28.12
966,2017-12-06,17800,18100,16850,17700,692204,1.87,0.44,28.12
967,2017-12-07,17700,18100,16950,17700,607045,1.87,0.44,28.12
968,2017-12-08,17700,17750,17000,17100,233066,1.87,0.44,28.12
969,2017-12-11,17100,17450,17000,17200,230005,1.87,0.44,28.12
970,2017-12-12,17200,17400,17050,17100,107428,1.87,0.44,28.12
971,2017-12-13,17100,17250,17050,17100,202687,1.87,0.44,28.12
972,2017-12-14,17100,17200,16850,16900,177794,1.87,0.44,28.12
973,2017-12-15,16900,17100,16500,16500,251933,1.87,0.44,28.12
974,2017-12-18,16500,16600,16300,16450,130777,1.87,0.44,28.12
975,2017-12-19,16500,16500,15850,15850,245977,1.87,0.44,28.12
976,2017-12-20,15850,15900,15150,15200,343135,1.87,0.44,28.12
977,2017-12-21,15000,15050,14600,14800,274353,1.87,0.44,28.12
978,2017-12-22,14950,15100,14650,15100,128975,1.87,0.44,28.12
979,2017-12-26,15200,15600,15000,15000,158344,1.87,0.44,28.12
980,2017-12-27,14700,14750,13800,14050,402003,1.87,0.44,28.12
981,2017-12-28,14150,14450,13900,13900,293878,1.87,0.44,28.12
982,2018-01-02,14000,15400,13950,15350,382063,10.61,0.95,9.53
983,2018-01-03,15450,17250,15350,17200,819973,10.61,0.95,9.53
984,2018-01-04,17850,17850,16450,16500,526458,10.61,0.95,9.53
985,2018-01-05,16600,16900,16200,16550,244282,10.61,0.95,9.53
986,2018-01-08,16600,16600,15700,15900,284641,10.61,0.95,9.53
987,2018-01-09,15800,15850,15200,15400,264053,10.61,0.95,9.53
988,2018-01-10,15200,16450,15200,15900,426655,10.61,0.95,9.53
989,2018-01-11,15750,16300,15750,15900,325226,10.61,0.95,9.53
990,2018-01-12,16300,17550,16200,17300,905957,10.61,0.95,9.53
991,2018-01-15,17600,19200,17500,19100,1839224,10.61,0.95,9.53
992,2018-01-16,19200,19350,18350,19000,637656,10.61,0.95,9.53
993,2018-01-17,19000,19000,17850,18150,728905,10.61,0.95,9.53
994,2018-01-18,18400,18400,17600,17950,247380,10.61,0.95,9.53
