,Date,Open,High,Low,Close,Volume,ROE,PER,PBR
92,2014-05-19,58500,59300,58500,59000,188162,5.6,5.1,1.1
93,2014-05-20,58800,58900,58100,58400,135537,5.6,5.1,1.1
94,2014-05-21,58100,58700,57300,57900,249880,5.6,5.1,1.1
95,2014-05-22,57900,58900,57800,58100,219986,5.6,5.1,1.1
96,2014-05-23,58100,58400,57500,57700,150044,5.6,5.1,1.1
97,2014-05-26,57400,57700,57200,57400,200704,5.6,5.1,1.1
98,2014-05-27,57400,58300,57100,57200,201204,5.6,5.1,1.1
99,2014-05-28,57100,57200,56500,56800,197405,5.6,5.1,1.1
100,2014-05-29,56600,56700,55400,55700,355410,5.6,5.1,1.1
101,2014-05-30,55500,55600,54200,55100,466079,5.6,5.1,1.1
102,2014-06-02,55100,55600,54600,55000,219850,5.6,5.1,1.1
103,2014-06-03,54500,54600,53600,53900,386429,5.6,5.1,1.1
104,2014-06-05,53300,54500,52700,54200,432229,5.6,5.1,1.1
105,2014-06-09,54400,56200,54300,55400,342871,5.6,5.1,1.1
106,2014-06-10,55600,56400,55300,56100,250218,5.6,5.1,1.1
107,2014-06-11,56400,56500,55900,56200,175634,5.6,5.1,1.1
108,2014-06-12,56100,56300,55500,55500,304268,5.6,5.1,1.1
109,2014-06-13,56400,57300,55600,56400,419682,5.6,5.1,1.1
110,2014-06-16,57100,58500,56700,57400,643381,5.6,5.1,1.1
111,2014-06-17,57500,57600,56200,56800,305285,5.6,5.1,1.1
112,2014-06-18,56900,56900,56300,56800,136352,5.6,5.1,1.1
113,2014-06-19,56400,57300,56400,56900,143225,5.6,5.1,1.1
114,2014-06-20,57200,57200,55100,55900,335913,5.6,5.1,1.1
115,2014-06-23,55900,56700,55300,56100,185501,5.6,5.1,1.1
116,2014-06-24,55600,56900,55600,56600,223174,5.6,5.1,1.1
117,2014-06-25,56700,57800,56400,56900,307550,5.6,5.1,1.1
118,2014-06-26,56800,57800,56400,57100,292754,5.6,5.1,1.1
119,2014-06-27,57100,57300,56400,57000,149038,5.6,5.1,1.1
120,2014-06-30,57500,57500,56400,56900,157423,5.6,5.1,1.1
121,2014-07-01,56400,56800,56200,56800,115063,5.6,5.1,1.1
122,2014-07-02,56300,56800,56000,56300,194602,5.6,5.1,1.1
123,2014-07-03,57200,57700,56300,56400,340042,5.6,5.1,1.1
124,2014-07-04,56600,56800,55800,55900,155299,5.6,5.1,1.1
125,2014-07-07,56100,56200,55000,55500,218725,5.6,5.1,1.1
126,2014-07-08,55500,55600,54500,55500,194869,5.6,5.1,1.1
127,2014-07-09,55100,55500,54700,55000,199516,5.6,5.1,1.1
128,2014-07-10,54700,55000,54500,54700,132627,5.6,5.1,1.1
129,2014-07-11,54400,54500,53800,54200,153743,5.6,5.1,1.1
130,2014-07-14,54000,54500,53600,54200,113951,5.6,5.1,1.1
131,2014-07-15,54000,55700,53900,54300,191776,5.6,5.1,1.1
