,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
220,2014-11-25,40100,40500,40050,40050,356866,10.1,3.4,37.4
221,2014-11-26,40150,40300,39650,39650,524477,10.1,3.4,37.4
222,2014-11-27,39600,41600,39100,39850,1112888,10.1,3.4,37.4
223,2014-11-28,40000,40450,39750,39850,434733,10.1,3.4,37.4
224,2014-12-01,40150,40450,39900,40400,438681,10.1,3.4,37.4
225,2014-12-02,40700,40700,40150,40200,218058,10.1,3.4,37.4
226,2014-12-03,40200,40500,40100,40100,201455,10.1,3.4,37.4
227,2014-12-04,40350,41350,40250,40900,621579,10.1,3.4,37.4
228,2014-12-05,41250,41250,40500,40650,278372,10.1,3.4,37.4
229,2014-12-08,40450,40650,39900,40000,510757,10.1,3.4,37.4
230,2014-12-09,39950,40250,39150,39150,492387,10.1,3.4,37.4
231,2014-12-10,39000,39300,37500,38050,803285,10.1,3.4,37.4
232,2014-12-11,37800,38850,37700,37700,342411,10.1,3.4,37.4
233,2014-12-12,37950,38200,37250,37700,249865,10.1,3.4,37.4
234,2014-12-15,37350,38500,37300,38500,255677,10.1,3.4,37.4
235,2014-12-16,38450,40100,38100,39750,562865,10.1,3.4,37.4
236,2014-12-17,39750,40150,38700,38700,253158,10.1,3.4,37.4
237,2014-12-18,38700,39100,37650,38100,360243,10.1,3.4,37.4
238,2014-12-19,38250,39200,38100,38550,319580,10.1,3.4,37.4
239,2014-12-22,38600,39800,38600,39650,334522,10.1,3.4,37.4
240,2014-12-23,39900,40550,39100,39500,307466,10.1,3.4,37.4
241,2014-12-24,39900,40150,39450,39700,229183,10.1,3.4,37.4
242,2014-12-26,40000,40450,39450,39450,493921,10.1,3.4,37.4
243,2014-12-29,38600,39000,38200,38750,268701,10.1,3.4,37.4
244,2014-12-30,38750,38850,38300,38850,133720,10.1,3.4,37.4
245,2015-01-02,39050,39500,38850,39150,209680,10.48,5.74,62.91
246,2015-01-05,39000,39200,38650,38950,168975,10.48,5.74,62.91
247,2015-01-06,38500,38700,37900,38250,271199,10.48,5.74,62.91
248,2015-01-07,38100,38350,37900,37900,169967,10.48,5.74,62.91
249,2015-01-08,38150,38800,37900,38100,225169,10.48,5.74,62.91
250,2015-01-09,38650,38900,38100,38400,270553,10.48,5.74,62.91
251,2015-01-12,38550,38900,38400,38500,219070,10.48,5.74,62.91
252,2015-01-13,38700,40950,38500,39700,1225518,10.48,5.74,62.91
253,2015-01-14,40200,40800,39950,40250,564228,10.48,5.74,62.91
254,2015-01-15,40650,41300,40400,41150,578489,10.48,5.74,62.91
255,2015-01-16,41450,41600,40400,40450,355641,10.48,5.74,62.91
256,2015-01-19,41400,41850,40700,40700,414952,10.48,5.74,62.91
257,2015-01-20,40700,41000,39900,40450,341989,10.48,5.74,62.91
258,2015-01-21,40600,40850,39650,39950,350746,10.48,5.74,62.91
259,2015-01-22,39750,40100,39150,39250,290932,10.48,5.74,62.91
260,2015-01-23,39700,40400,39500,40400,366340,10.48,5.74,62.91
261,2015-01-26,40450,40950,39850,40000,305561,10.48,5.74,62.91
262,2015-01-27,40100,40350,39200,39500,331935,10.48,5.74,62.91
263,2015-01-28,39200,39650,39100,39600,224071,10.48,5.74,62.91
264,2015-01-29,39550,40550,39500,40100,336457,10.48,5.74,62.91
265,2015-01-30,40750,42250,40050,40700,1228557,10.48,5.74,62.91
266,2015-02-02,40900,41550,40350,41500,396675,10.48,5.74,62.91
267,2015-02-03,41550,43000,41150,42900,1028397,10.48,5.74,62.91
268,2015-02-04,42900,43500,42350,42400,642246,10.48,5.74,62.91
269,2015-02-05,42750,42850,42000,42400,391517,10.48,5.74,62.91
270,2015-02-06,48000,48300,45400,47100,4867669,10.48,5.74,62.91
271,2015-02-09,47050,51300,46600,49300,4058760,10.48,5.74,62.91
272,2015-02-10,50000,51700,47450,48800,2788615,10.48,5.74,62.91
273,2015-02-11,49750,50600,49300,49600,1671265,10.48,5.74,62.91
274,2015-02-12,49950,50800,48050,50500,1772525,10.48,5.74,62.91
275,2015-02-13,51000,58000,51000,58000,6289955,10.48,5.74,62.91
276,2015-02-16,60400,66700,59300,66700,6840229,10.48,5.74,62.91
277,2015-02-17,69500,71400,63400,64800,9534166,10.48,5.74,62.91
278,2015-02-23,67300,74400,66100,73600,7696640,10.48,5.74,62.91
279,2015-02-24,72900,75700,70500,72000,5704104,10.48,5.74,62.91
280,2015-02-25,73200,73500,66900,67800,5177103,10.48,5.74,62.91
281,2015-02-26,66500,68200,64000,66800,6690995,10.48,5.74,62.91
282,2015-02-27,67300,69100,65500,65500,3363450,10.48,5.74,62.91
283,2015-03-02,64500,66100,62200,62300,2808599,10.48,5.74,62.91
284,2015-03-03,64100,67400,63400,64600,4200821,10.48,5.74,62.91
285,2015-03-04,64500,69200,64000,65800,4287443,10.48,5.74,62.91
286,2015-03-05,66500,67300,63600,64400,2443446,10.48,5.74,62.91
287,2015-03-06,65000,69500,64000,69500,4157210,10.48,5.74,62.91
288,2015-03-09,71000,71900,67000,67600,3242703,10.48,5.74,62.91
289,2015-03-10,67200,68000,64800,65200,2068230,10.48,5.74,62.91
